,Max,Min,Mean,Var,label
0,456,226,306.35,2043.8055555555559,0
1,627,94,340.04,9634.523636363636,0
2,527,112,314.77,7643.471818181818,0
3,407,106,245.08,3605.7511111111103,0
4,395,106,227.88,4612.066262626263,0
5,522,121,269.37,7605.386969696968,0
6,388,104,248.49,4924.757474747475,0
7,289,179,216.97,620.6152525252525,0
8,296,100,173.21,2386.329191919192,0
9,365,103,185.49,4356.353434343435,0
10,443,158,285.45,3302.9772727272725,0
11,525,174,318.04,6380.604444444445,0
12,397,175,271.8,2748.181818181818,0
13,386,178,253.81,2444.741313131313,0
14,370,184,257.39,2022.9473737373737,0
15,345,169,242.06,1865.673131313131,0
16,476,165,248.03,5306.857676767677,0
17,398,157,273.46,1728.95797979798,0
18,540,186,275.04,6213.917575757576,0
19,419,165,256.31,2408.8221212121216,0
20,428,165,260.37,2610.4172727272726,0
21,337,172,227.26,1009.0024242424242,0
22,444,176,247.76,3156.648888888888,0
23,504,173,253.64,3674.636767676768,0
24,377,192,246.79,1023.0766666666665,0
25,489,193,251.99,4216.61606060606,0
26,365,178,221.24,1306.2852525252524,0
27,307,166,218.89,550.1594949494948,0
28,349,187,230.79,1167.5211111111112,0
29,287,179,228.65,720.1691919191919,0
30,342,190,219.91,859.1332323232324,0
31,386,193,236.58,1544.1248484848486,0
32,293,191,231.17,490.1829292929293,0
33,329,159,207.03,901.201111111111,0
34,272,164,212.56,412.93575757575763,0
35,254,183,213.26,204.19434343434344,0
36,408,176,267.92,1911.6703030303036,0
37,475,185,262.65,4158.249999999999,0
38,356,189,244.47,1545.7869696969694,0
39,357,204,252.78,965.5470707070707,0
40,321,191,242.64,912.5963636363637,0
41,325,189,230.76,673.1135353535354,0
42,306,181,228.6,651.131313131313,0
43,310,189,237.13,494.0940404040403,0
44,372,180,248.52,1601.161212121212,0
45,288,182,226.82,654.3915151515151,0
46,243,174,213.23,196.32030303030302,0
47,313,179,223.53,844.1506060606059,0
48,465,172,225.77,3836.3001010101007,0
49,416,214,294.11,1911.7150505050506,0
50,339,168,215.55,1861.7045454545455,1
51,350,171,224.29,2023.9857575757576,1
52,307,169,196.99,823.9493939393941,1
53,316,169,206.36,966.7983838383838,1
54,233,168,188.63,184.53848484848487,1
55,222,158,182.8,212.24242424242425,1
56,213,160,181.43,106.59101010101008,1
57,354,166,205.65,1705.7247474747476,1
58,255,167,200.16,599.0448484848487,1
59,460,160,223.77,4947.350606060606,1
60,416,174,225.67,3052.7485858585856,1
61,297,174,205.42,929.9026262626263,1
62,239,170,192.3,247.60606060606057,1
63,300,174,212.27,753.4112121212121,1
64,266,167,200.01,701.5251515151517,1
65,241,163,199.17,296.72838383838393,1
66,274,173,209.35,833.6843434343434,1
67,310,179,236.58,1372.0036363636366,1
68,219,172,192.54,115.42262626262627,1
69,273,164,203.43,814.550606060606,1
70,276,176,203.33,483.4152525252525,1
71,329,185,219.91,1015.6180808080808,1
72,253,182,208.02,281.7167676767677,1
73,366,175,212.86,2140.768080808081,1
74,230,167,186.21,84.77363636363634,1
75,291,185,212.53,684.3930303030303,1
76,225,185,201.25,83.3409090909091,1
77,393,184,232.44,3165.016565656566,1
78,445,187,252.81,4366.0948484848495,1
79,346,181,232.12,2309.1167676767677,1
80,289,189,224.59,939.9413131313129,1
81,372,186,230.1,2273.5454545454545,1
82,345,180,228.88,1747.1773737373737,1
83,387,190,227.66,2570.9539393939394,1
84,368,185,227.53,2527.0798989898985,1
85,263,186,210.25,307.4823232323232,1
86,222,178,196.41,140.81000000000003,1
87,271,176,206.24,636.4064646464644,1
88,397,181,216.19,2423.327171717172,1
89,223,178,197.75,123.46212121212122,1
90,227,178,193.29,117.21808080808079,1
91,256,186,208.11,295.6140404040404,1
92,246,183,205.48,191.12080808080808,1
93,351,183,221.1,1627.0,1
94,302,184,210.05,1037.482323232323,1
95,295,176,210.69,1297.4079797979796,1
96,266,186,210.43,327.2374747474748,1
97,326,187,216.57,997.0152525252524,1
98,316,182,218.03,1067.1809090909092,1
99,223,176,194.35,78.89646464646465,1
100,366,294,322.21,258.81404040404044,2
101,351,284,311.85,234.61363636363632,2
102,337,283,312.66,143.05494949494948,2
103,344,289,310.85,60.22979797979798,2
104,332,295,311.41,84.00191919191916,2
105,337,296,312.54,82.5539393939394,2
106,336,288,306.87,79.4071717171717,2
107,323,293,306.77,55.57282828282828,2
108,333,291,308.7,81.8080808080808,2
109,325,292,307.34,55.357979797979795,2
110,326,286,306.35,91.01767676767679,2
111,324,291,308.24,61.80040404040402,2
112,321,286,304.79,74.93525252525252,2
113,328,294,309.5,52.41414141414141,2
114,334,300,315.07,60.8738383838384,2
115,330,292,311.61,57.27060606060607,2
116,335,296,313.79,63.23828282828281,2
117,339,298,312.93,74.32838383838384,2
118,330,292,310.62,59.20767676767678,2
119,330,292,312.21,63.19787878787877,2
120,326,293,309.5,64.33333333333333,2
121,350,304,320.08,85.62989898989898,2
122,329,292,305.98,61.99959595959597,2
123,328,288,310.91,78.30494949494951,2
124,328,296,311.59,52.68878787878788,2
125,332,298,313.66,72.9539393939394,2
126,328,291,311.53,66.21121212121211,2
127,336,298,314.11,93.89686868686867,2
128,212,179,195.58,39.094545454545454,2
129,215,183,196.77,39.087979797979806,2
130,224,186,201.6,72.70707070707071,2
131,216,183,197.49,56.898888888888884,2
132,218,180,195.93,62.55060606060605,2
133,213,182,196.53,53.70616161616161,2
134,212,185,200.61,30.74535353535353,2
135,207,176,190.74,54.214545454545444,2
136,214,176,195.4,64.74747474747477,2
137,209,181,194.55,39.46212121212121,2
138,215,181,196.87,59.831414141414115,2
139,222,185,197.53,67.42333333333335,2
140,204,173,191.45,43.86616161616162,2
141,216,183,196.03,38.3930303030303,2
142,205,175,187.03,49.80717171717171,2
143,200,169,185.38,36.480404040404046,2
144,204,168,188.9,42.25252525252525,2
145,209,171,193.52,57.36323232323233,2
146,208,171,189.21,42.73323232323232,2
147,199,175,186.06,24.440808080808083,2
148,203,164,187.35,53.078282828282816,2
149,218,170,196.92,92.27636363636366,2
